CodFilial;DataMovimento;CodConta;CodCentroCusto;StatusLançamento;TipoLancamento;Lote;LoteItem;Valor
1001;02/01/2018;531;220;INTEGRADO;D;277810;8;1785,6832
1001;02/01/2018;531;220;INTEGRADO;D;277810;9;3482,0864
1001;02/01/2018;531;220;INTEGRADO;D;277810;11;3571,3728
1001;02/01/2018;302;200;INTEGRADO;D;277810;12;3029,7984
1001;02/01/2018;302;200;INTEGRADO;D;277810;6;2844,0448
1001;02/01/2018;302;200;INTEGRADO;D;277810;7;757,4464
1001;02/01/2018;593;220;INTEGRADO;D;277810;3;5094,2784
1001;02/01/2018;593;220;INTEGRADO;D;277810;4;5094,2784
1001;02/01/2018;593;220;INTEGRADO;D;277810;5;5094,2784
1001;02/01/2018;593;220;INTEGRADO;D;277810;1;5094,2784
1001;02/01/2018;593;220;INTEGRADO;D;277810;2;5094,2784
1001;02/01/2018;376;220;INTEGRADO;D;259104;4;613,6
1001;02/01/2018;396;220;INTEGRADO;D;259111;4;1345,2032
1001;02/01/2018;430;110;INTEGRADO;D;259295;1;14,112
1001;02/01/2018;372;110;INTEGRADO;D;260194;1;20,9024
1001;02/01/2018;430;110;INTEGRADO;D;267375;1;9,6
1001;02/01/2018;372;110;INTEGRADO;D;268434;2;664,96
1001;02/01/2018;231;220;INTEGRADO;D;266394;1;51,2128
1001;02/01/2018;232;220;INTEGRADO;D;266394;2;235,904
1001;02/01/2018;383;110;INTEGRADO;D;266736;1;68,2176
1001;02/01/2018;396;220;INTEGRADO;D;259112;4;1345,2032
1001;02/01/2018;372;110;INTEGRADO;D;260193;1;6,7456
1001;02/01/2018;431;110;INTEGRADO;D;266734;1;207,5584
1003;02/01/2018;232;280;INTEGRADO;D;13134;3;123,9296
1003;02/01/2018;231;280;INTEGRADO;D;13134;2;26,9056
1003;02/01/2018;230;280;INTEGRADO;D;13134;1;195,6864
1001;02/01/2018;351;110;INTEGRADO;D;260110;1;15,6672
1001;02/01/2018;351;110;INTEGRADO;D;260110;2;48,5632
1001;02/01/2018;351;110;INTEGRADO;D;260110;3;980,0576
1001;02/01/2018;430;110;INTEGRADO;D;266711;1;43,616
1001;02/01/2018;409;110;INTEGRADO;D;266735;1;329,8048
1003;02/01/2018;303;280;INTEGRADO;D;17192;1;890,6368
1003;02/01/2018;303;280;INTEGRADO;D;17192;2;890,6368
1003;02/01/2018;303;280;INTEGRADO;D;17192;3;890,6368
1003;02/01/2018;303;280;INTEGRADO;D;17192;4;890,6368
1003;02/01/2018;303;280;INTEGRADO;D;17192;5;890,6368
1003;02/01/2018;303;280;INTEGRADO;D;17192;6;890,6368
1003;02/01/2018;232;280;INTEGRADO;D;13131;3;123,9296
1003;02/01/2018;231;280;INTEGRADO;D;13131;2;26,9056
1003;02/01/2018;230;280;INTEGRADO;D;13131;1;195,6864
1003;02/01/2018;232;280;INTEGRADO;D;13133;3;123,9296
1003;02/01/2018;231;280;INTEGRADO;D;13133;2;26,9056
1003;02/01/2018;230;280;INTEGRADO;D;13133;1;195,6864
1003;02/01/2018;347;111;INTEGRADO;D;13173;1;237,44
1003;02/01/2018;232;280;INTEGRADO;D;13150;2;104,1856
1003;02/01/2018;231;280;INTEGRADO;D;13150;1;22,6176
1001;02/01/2018;351;110;INTEGRADO;D;259090;1;30,7136
1001;02/01/2018;351;110;INTEGRADO;D;259090;2;95,2256
1001;02/01/2018;351;110;INTEGRADO;D;259090;3;1921,8432
1001;02/01/2018;231;200;INTEGRADO;D;266391;1;71,9936
1001;02/01/2018;232;200;INTEGRADO;D;266391;2;331,616
1001;02/01/2018;396;220;INTEGRADO;D;259114;4;1345,2032
1001;02/01/2018;231;200;INTEGRADO;D;266393;1;20,3392
1001;02/01/2018;232;200;INTEGRADO;D;266393;2;93,696
1001;02/01/2018;231;220;INTEGRADO;D;266395;1;90,6048
1001;02/01/2018;232;220;INTEGRADO;D;266395;2;417,3312
1001;02/01/2018;231;220;INTEGRADO;D;266397;1;108,768
1001;02/01/2018;232;220;INTEGRADO;D;266397;2;500,992
1003;02/01/2018;232;280;INTEGRADO;D;13132;3;123,9296
1003;02/01/2018;231;280;INTEGRADO;D;13132;2;26,9056
1003;02/01/2018;230;280;INTEGRADO;D;13132;1;195,6864
1003;02/01/2018;232;280;INTEGRADO;D;13135;2;104,1856
1003;02/01/2018;231;280;INTEGRADO;D;13135;1;22,6176
1001;02/01/2018;376;220;INTEGRADO;D;259101;4;957,2224
1001;02/01/2018;396;220;INTEGRADO;D;259110;4;1345,2032
1001;02/01/2018;396;220;INTEGRADO;D;259113;4;1345,2032
1001;02/01/2018;231;200;INTEGRADO;D;266398;1;85,0432
1001;02/01/2018;232;200;INTEGRADO;D;266398;2;391,7312
1001;02/01/2018;425;110;INTEGRADO;C;259288;2;143,3024
1001;02/01/2018;425;110;INTEGRADO;C;259289;2;50,3744
1001;02/01/2018;594;220;INTEGRADO;C;266387;1;12258,9248
1001;02/01/2018;594;220;INTEGRADO;C;266390;1;12258,9248
1001;02/01/2018;219;200;INTEGRADO;C;266391;3;4363,392
